%Time(us) Velocity Voltage
0.0 0.0 0.0
132	0.0000000000	3.0000000000
20936	67.8823089599	3.0000000000
42440	180.7097015380	3.0000000000
63944	262.8995971679	3.0000000000
85448	328.5015869140	3.0000000000
106952	361.4869079589	3.0000000000
127436	396.8364257812	3.0000000000
148940	427.2916870117	3.0000000000
170440	443.6431579589	3.0000000000
191948	460.0744018554	3.0000000000
213452	459.9885253906	3.0000000000
234964	460.0744018554	3.0000000000
255436	483.1051940917	3.0000000000
276936	476.5949096679	3.0000000000
298444	492.8445129394	3.0000000000
319960	476.5052795410	3.0000000000
341452	492.9364929199	3.0000000000
362968	492.9364929199	3.0000000000
383436	500.4570312500	3.0000000000
404940	509.2726745605	3.0000000000
426444	492.9371948242	3.0000000000
447948	492.9364929199	3.0000000000
469452	509.3684387207	3.0000000000
490956	492.9364929199	3.0000000000
511448	483.1998901367	3.0000000000
532940	509.3684387207	3.0000000000
554444	492.9371948242	3.0000000000
575948	492.9358215332	3.0000000000
597452	492.9358215332	3.0000000000
618960	492.9371948242	3.0000000000
639436	483.2006225585	3.0000000000
660940	492.9358215332	3.0000000000
682448	492.9371948242	3.0000000000
703952	492.9371948242	3.0000000000
725464	492.6599731445	3.0000000000
746960	476.7729187011	3.0000000000
767436	500.4577636718	3.0000000000
788952	492.6599731445	3.0000000000
810444	493.1199035644	3.0000000000
831948	492.9371948242	3.0000000000
853464	492.9371948242	3.0000000000
874956	509.3684387207	3.0000000000
895436	500.4562988281	3.0000000000
916940	509.3684387207	3.0000000000
938444	492.9371948242	3.0000000000
959952	509.3684387207	3.0000000000
981456	492.9358215332	3.0000000000
1002960	509.3684387207	3.0000000000
1023436	500.4562988281	3.0000000000
1044940	492.9385681152	3.0000000000
1066444	509.3670043945	3.0000000000
1087948	492.9358215332	3.0000000000
1109452	509.3698425292	3.0000000000
1130968	492.9358215332	3.0000000000
1151440	517.7134399414	3.0000000000
1172940	492.9358215332	3.0000000000
1194448	509.3670043945	3.0000000000
1215952	492.8452148437	3.0000000000
1237468	492.8424682617	3.0000000000
1258960	509.4635314941	3.0000000000
1279448	483.2020263671	3.0000000000
1300952	492.9358215332	3.0000000000
1322456	492.9358215332	3.0000000000
1343948	492.9385681152	3.0000000000
1365456	492.8452148437	3.0000000000
1386956	493.0292053222	3.0000000000
1407436	500.4562988281	3.0000000000
1428944	492.9358215332	3.0000000000
1450448	492.9385681152	3.0000000000
1471952	493.0292053222	3.0000000000
1493456	492.9358215332	3.0000000000
1514956	492.9385681152	3.0000000000
1535436	500.4562988281	3.0000000000
1556944	509.2733764648	3.0000000000
1578444	492.9385681152	3.0000000000
1599952	509.3670043945	3.0000000000
1621452	509.3698425292	3.0000000000
1642968	492.9358215332	3.0000000000
1663448	517.4106445312	3.0000000000
1684940	493.2133789062	3.0000000000
1706444	509.3670043945	3.0000000000
1727948	492.9358215332	3.0000000000
1749456	509.3698425292	3.0000000000
1770956	492.9358215332	3.0000000000
1791448	500.4562988281	3.0000000000
1812944	509.3698425292	3.0000000000
1834448	509.3670043945	3.0000000000
1855948	509.3670043945	3.0000000000
1877452	509.3670043945	3.0000000000
1898968	492.9358215332	3.0000000000
1919436	517.7164306640	3.0000000000
1940940	492.9358215332	3.0000000000
1962448	509.3670043945	3.0000000000
1983952	492.8452148437	3.0000000000
2005464	493.0319519042	3.0000000000
2026960	509.3641662597	3.0000000000
2047440	483.2020263671	3.0000000000
2068940	492.9385681152	3.0000000000
2090448	492.9330749511	3.0000000000
2111948	492.9385681152	3.0000000000
2133452	492.8452148437	3.0000000000
2154968	492.8452148437	3.0000000000
2175440	500.3596801757	3.0000000000
2196940	492.9385681152	3.0000000000
2218444	492.8452148437	3.0000000000
2239960	492.9385681152	3.0000000000
2261456	509.2733764648	3.0000000000
2282956	492.9385681152	3.0000000000
2303448	500.3596801757	3.0000000000
2324944	509.3698425292	3.0000000000
2346448	509.2733764648	3.0000000000
2367952	509.2733764648	3.0000000000
2389456	509.3698425292	3.0000000000
2410968	493.0264587402	3.0000000000
2431440	517.7164306640	3.0000000000
2452940	509.3698425292	3.0000000000
2474444	509.3641662597	3.0000000000
2495960	492.9330749511	3.0000000000
2517456	509.3698425292	3.0000000000
2538956	509.3698425292	3.0000000000
2559440	500.3538208007	3.0000000000
2580944	509.3698425292	3.0000000000
2602448	509.3698425292	3.0000000000
2623952	492.8397216796	3.0000000000
2645464	493.0264587402	3.0000000000
2666960	509.3698425292	3.0000000000
2687436	500.3596801757	3.0000000000
2708944	492.8452148437	3.0000000000
2730448	492.8452148437	3.0000000000
2751948	493.0264587402	3.0000000000
2773464	492.8452148437	3.0000000000
2794960	509.2733764648	3.0000000000
2815436	500.4592285156	3.0000000000
2836944	492.8452148437	3.0000000000
2858460	492.9385681152	3.0000000000
2879952	509.3698425292	3.0000000000
2901456	492.9330749511	3.0000000000
2922960	492.9385681152	3.0000000000
2943440	500.4592285156	3.0000000000
2964952	493.0264587402	3.0000000000
2986448	509.2733764648	3.0000000000
3007952	509.3698425292	3.0000000000
3029456	509.3641662597	3.0000000000
3050968	509.0862121582	3.0000000000
3071436	500.6525878906	3.0000000000
3092944	509.2677001953	3.0000000000
3114448	509.3698425292	3.0000000000
3135952	509.2733764648	3.0000000000
3157456	509.2733764648	3.0000000000
3178972	492.8452148437	3.0000000000
3199440	517.8194580078	3.0000000000
3220944	509.3641662597	3.0000000000
3242448	509.3698425292	3.0000000000
3263952	509.3698425292	3.0000000000
3285456	509.4606933593	3.0000000000
3306960	509.2733764648	3.0000000000
